fighter1,fighter2
"Anthony Joshua","Dillian Whyte"
"Dillian Whyte","Tony Bellew"
"Bermane Stiverne","Luis Ortiz"
"Deontay Wilder","Luis Ortiz"
"Deontay Wilder","Anthony Joshua"
"Tyson Fury","Luis Ortiz"
"Tyson Fury","Anthony Joshua"
